COUNTRY,year,f7,f10,f14,f15,f20
Spain,2010,0.0222,0.0284,0.0005,0.026,-0.0035
Spain,2011,0.0002,0.0205,-0.0193,0.0086,-0.0158
Spain,2012,-0.0121,0.0035,-0.0431,-0.0281,-0.0354
Spain,2013,-0.021,-0.0185,-0.0291,-0.0156,-0.0125
Spain,2014,0.0175,0.01,0.0167,0.0212,0.0114
Spain,2015,0.0264,0.0272,0.036,0.041,0.0394
Spain,2016,0.0301,0.0309,0.0292,0.031,0.0365
Spain,2017,0.0429,0.0268,0.0407,0.05,0.0412
United Kingdom,1961,0.0413,0.0659,0.056,0.0424,0.0498
United Kingdom,1962,0.0571,0.0507,0.052,0.0382,0.0432
United Kingdom,1963,0.0685,0.0586,0.0589,0.0647,0.0637
United Kingdom,1964,0.0687,0.0797,0.0887,0.0978,0.0945
United Kingdom,1965,0.064,0.0823,0.078,0.069,0.0813
United Kingdom,1966,0.059,0.0812,0.0657,0.0638,0.0665
United Kingdom,1967,0.0387,0.0404,0.0531,0.0469,0.0436
United Kingdom,1968,-0.0223,-0.0161,-0.0131,0.0065,-0.0062
United Kingdom,1969,0.0693,0.0956,0.068,0.0793,0.0911
United Kingdom,1970,0.0904,0.1357,0.1217,0.1214,0.1241
United Kingdom,1971,0.1134,0.1558,0.1176,0.1127,0.1077
United Kingdom,1972,0.0815,0.1091,0.0794,0.0655,0.0663
United Kingdom,1973,0.026,0.0759,0.0375,0.0685,0.0299
United Kingdom,1974,0.1376,0.2144,0.147,0.1705,0.1007
United Kingdom,1975,0.1165,0.1757,0.1198,0.0893,0.1231
United Kingdom,1976,0.0483,0.0938,0.0463,0.088,0.0672
United Kingdom,1977,0.0873,0.1196,0.076,0.101,0.1068
United Kingdom,1978,0.1327,0.1499,0.1393,0.1243,0.1459
United Kingdom,1979,0.2164,0.2219,0.2246,0.2168,0.2195
United Kingdom,1980,0.2554,0.3029,0.2677,0.2392,0.2652
United Kingdom,1981,0.2063,0.2217,0.1922,0.1876,0.2023
United Kingdom,1982,0.0816,0.0602,0.0802,0.0829,0.0906
United Kingdom,1983,0.0481,0.0233,0.0459,0.0543,0.0549
United Kingdom,1984,0.0713,0.0576,0.0791,0.091,0.0708
United Kingdom,1985,0.0953,0.0813,0.0919,0.0957,0.1073
United Kingdom,1986,-0.0294,-0.0608,-0.0405,-0.0666,-0.054
United Kingdom,1987,0.0476,0.0449,0.0605,0.0581,0.0596
United Kingdom,1988,0.2006,0.1828,0.2087,0.1893,0.1884
United Kingdom,1989,0.0839,0.0754,0.0997,0.0998,0.0926
United Kingdom,1990,0.0228,0.0481,0.0186,0.0162,0.0221
United Kingdom,1991,0.0864,0.098,0.0618,0.0534,0.0681
United Kingdom,1992,0.0039,-0.0305,-0.0157,-0.009,-0.0156
United Kingdom,1993,0.0094,-0.0291,-0.011,0.0079,-0.0018
United Kingdom,1994,0.0574,0.0336,0.0499,0.0658,0.0603
United Kingdom,1995,-0.0138,-0.037,-0.02,-0.0038,-0.0142
United Kingdom,1996,0.0926,0.0668,0.0918,0.0929,0.0901
United Kingdom,1997,0.256,0.1983,0.2277,0.2288,0.2418
United Kingdom,1998,0.0785,0.0347,0.0801,0.0654,0.0737
United Kingdom,1999,0.0834,0.1025,0.084,0.075,0.065
United Kingdom,2000,0.14,0.1311,0.1428,0.1579,0.1459
United Kingdom,2001,0.0193,0.0466,0.0207,0.0184,0.0116
United Kingdom,2002,0.0314,0.0601,0.0414,0.0312,0.0311
United Kingdom,2003,-0.0455,-0.0333,-0.0416,-0.0421,-0.0378
United Kingdom,2004,0.0709,0.071,0.0763,0.0721,0.0709
United Kingdom,2005,0.0426,0.0336,0.0489,0.0592,0.0517
United Kingdom,2006,0.0473,0.0788,0.055,0.074,0.0553
United Kingdom,2007,0.0458,0.0452,0.0488,0.0332,0.0481
United Kingdom,2008,-0.1131,-0.1645,-0.1152,-0.1055,-0.1151
United Kingdom,2009,-0.127,-0.0986,-0.1305,-0.1409,-0.1368
United Kingdom,2010,0.0667,0.0475,0.0671,0.0955,0.079
United Kingdom,2011,0.019,0.0199,0.0147,0.0331,0.0241
United Kingdom,2012,0.1094,0.1059,0.1074,0.0997,0.1003
United Kingdom,2013,-0.0079,-0.0056,-0.0124,-0.0085,-0.0089
United Kingdom,2014,0.0946,0.0988,0.0985,0.0874,0.1045
United Kingdom,2015,0.1405,0.1405,0.1411,0.1323,0.1413
United Kingdom,2016,-0.0796,-0.0981,-0.0865,-0.0806,-0.0803
United Kingdom,2017,0.0065,-0.0017,-0.0008,0.0069,-0.0043
Greece,2018,0.0156,-0.0002,0.0203,0.0198,0.0128
Greece,2019,0.0111,-0.0002,0.014,0.0023,0.0106
Greece,2020,0.0094,-0.0002,0.0108,0.0023,0.0222
Greece,2021,0.0087,-0.0002,0.0091,0.0023,0.0174
Italy,2018,0.0134,0.0156,0.0182,0.0229,0.015
Italy,2019,0.0134,0.0166,0.0157,0.0198,0.014
Italy,2020,0.0134,0.0169,0.0148,0.0189,0.0136
Italy,2021,0.0134,0.017,0.0145,0.0187,0.0136
Spain,2018,0.0341,0.0118,0.0352,0.0391,0.0328
Spain,2019,0.031,0.0303,0.0327,0.0354,0.0297
Spain,2020,0.03,0.0195,0.0315,0.0342,0.0286
Spain,2021,0.0296,0.0258,0.031,0.0338,0.0282
Croatia,2018,0.0535,0.0444,0.059,0.0632,0.0569
Croatia,2019,0.0431,0.0444,0.0462,0.0553,0.0569
Croatia,2020,0.0431,0.0444,0.0462,0.0553,0.0569
Croatia,2021,0.0431,0.0444,0.0462,0.0553,0.0569
Cyprus,2018,0.0778,0.1054,0.0705,0.0347,0.0257
Cyprus,2019,0.0778,0.1054,0.0795,0.0347,0.0257
Cyprus,2020,0.0778,0.1054,0.0795,0.0347,0.0257
Cyprus,2021,0.0778,0.1054,0.0795,0.0347,0.0257
United Kingdom,2018,0.0741,0.0193,0.0548,0.0289,0.0487
United Kingdom,2019,0.0648,0.0268,0.0409,0.0352,0.0397
United Kingdom,2020,0.0648,0.0296,0.0409,0.0371,0.0397
United Kingdom,2021,0.0648,0.0305,0.0409,0.0376,0.0397
Portugal,2018,0.0343,0.0167,0.0367,0.0136,0.0368
Portugal,2019,0.0343,0.0185,0.0367,-0.005,0.0368
Portugal,2020,0.0343,0.0185,0.0367,-0.0081,0.0368
Portugal,2021,0.0343,0.0185,0.0367,-0.0017,0.0368
Slovenia,2018,0.0312,0.0118,0.0316,0.0596,0.033
Slovenia,2019,0.0425,0.0118,0.0447,0.0596,0.033
Slovenia,2020,0.035,0.0118,0.0369,0.0596,0.033
Slovenia,2021,0.04,0.0118,0.0416,0.0596,0.033
Czech Republic,2018,0.075,0.0321,0.0755,0.0896,0.0536
Czech Republic,2019,0.075,0.0328,0.0731,0.0896,0.0555
Czech Republic,2020,0.075,0.0324,0.0731,0.0896,0.0547
Czech Republic,2021,0.075,0.0326,0.0731,0.0896,0.055
